"AppID","AppName","Publisher"
"SonicWALL.GlobalVPN","Global VPN Client","SonicWall"
"Synology.DriveClient","Synology Drive Client","Synology"
"AgileBits.1Password","1Password (Machine Install)","AgileBits Inc."
"Splashtop.SplashtopStreamer","Splashtop Streamer","Splashtop Inc."
"Splashtop.SplashtopBusiness","Splashtop Business","Splashtop Inc."
"WireGuard.WireGuard","WireGuard","WireGuard LLC"
"Ditto.Ditto","Ditto","Scott Brogden"
"Microsoft.Azure.StorageExplorer","Microsoft Azure Storage Explorer","Microsoft Corporation"
"ScooterSoftware.BeyondCompare4","Beyond Compare 4","Scooter Software"
"StefansTools.grepWin","grepWin","Stefans Tools"
"Microsoft.NuGet","NuGet","Microsoft Corporation"
"OpenVPNTechnologies.OpenVPN","OpenVPN","OpenVPN, Inc."
"LINQPad.LINQPad.7","LINQPad 7","Joseph Albahari"
"Microsoft.VisualStudio.2019.Professional","Visual Studio Professional 2019","Microsoft Corporation"
"Microsoft.VisualStudio.2022.Professional","Visual Studio Professional 2022","Microsoft Corporation"
"JGraph.Draw","draw.io","JGraph"
"Graphviz.Graphviz","Graphviz","Graphviz"
"Microsoft.PowerShell","PowerShell","Microsoft Corporation"
"Microsoft.AzureCLI","Microsoft Azure CLI","Microsoft Corporation"
"Microsoft.Azure.DataCLI","Azure Data CLI","Microsoft Corporation"
"AnyDeskSoftwareGmbH.AnyDesk","AnyDesk","AnyDesk Software GmbH"
"Adobe.AdobeConnect","Adobe Connect","Adobe"
"Unity.Unity.2022","Unity 2022","Unity Technologies ApS"
"Surfshark.Surfshark","Surfshark","Surfshark"
"WinMerge.WinMerge","WinMerge","Thingamahoochie Software"
"RingCentral.RingCentral","RingCentral","RingCentral"
"Gyan.FFmpeg","FFmpeg","Gyan"
"RProject.R","R for Windows","R Core Team"
"Microsoft.Teams","Microsoft Teams","Microsoft Corporation"
"Logitech.OptionsPlus","Logi Options+","Logitech"
"RoyalApps.RoyalTS","Royal TS","Royal Apps GmbH"
"JetBrains.IntelliJIDEA.Ultimate","IntelliJ IDEA Ultimate Edition","JetBrains s.r.o."
"Microsoft.VisioViewer","Microsoft Visio Viewer 2016","Microsoft Corporation"
"AMSSoftware.PhotoGlory","PhotoGlory","AMS Software"
"Wondershare.Mockitt.CN","mockingbot-studio","MockingBot LLC"
"TechSmith.Snagit.2023","Snagit 2023","TechSmith Corporation"
"Nvidia.GeForceExperience","NVIDIA GeForce Experience","NVIDIA Corporation"
"Microsoft.Office","Microsoft 365 Apps for enterprise","Microsoft Corporation"
"Hashicorp.Terraform","Hashicorp Terraform","HashiCorp"
"TerraformLinters.tflint","TFLint","Terraform Linters"
"Mozilla.Thunderbird","Mozilla Thunderbird","Mozilla"
"NitroSoftware.NitroPro","Nitro Pro","Nitro"
"Google.AndroidStudio","Android Studio","Google LLC"
"ArduinoSA.IDE.stable","Arduino IDE","Arduino SA"
"DBBrowserForSQLite.DBBrowserForSQLite","DB Browser for SQLite","DB Browser for SQLite Team"
"voidtools.Everything.Lite","Everything Lite","voidtools"
"GNU.Emacs","GNU Emacs","GNU Project"
"Mobatek.MobaXterm","MobaXterm","Mobatek"
"JetBrains.PyCharm.Community","PyCharm Community Edition","JetBrains s.r.o."
"SmartBear.SoapUI","SoapUI","SmartBear Software"
"SonicWALL.NetExtender","SonicWall NetExtender","SonicWall Inc."
"SublimeHQ.SublimeText.4","Sublime Text 4","Sublime HQ Pty Ltd"
"IDMComputerSolutions,Inc.UltraEdit","UltraEdit","IDM Computer Solutions, Inc."
"Tencent.VooVMeeting","VooV Meeting","Tencent Technology (Shenzhen) Co. Ltd."
"Tencent.WeChat","WeChat","Tencent"
"RaspberryPiFoundation.RaspberryPiImager","Raspberry Pi Imager","Raspberry Pi Ltd"
"Microsoft.VisualStudio.2022.Community","Visual Studio Community 2022","Microsoft Corporation"
"IrfanSkiljan.IrfanView","IrfanView","Irfan Skiljan"
"JSFoundation.Appium","Appium Server GUI","Appium Developers"
"Microsoft.VCRedist.2015+.x64","Microsoft Visual C++ 2015-2022 Redistributable (x64)","Microsoft Corporation"
"Microsoft.VCRedist.2013.x64","Microsoft Visual C++ 2013 Redistributable (x64)","Microsoft Corporation"
"Microsoft.VCRedist.2012.x64","Microsoft Visual C++ 2012 Redistributable (x64)","Microsoft Corporation"
"Microsoft.VCRedist.2010.x64","Microsoft Visual C++ 2010 x64 Redistributable","Microsoft Corporation"
"Microsoft.VCRedist.2008.x64","Microsoft Visual C++ 2008 Redistributable - x64","Microsoft Corporation"
"Microsoft.VCRedist.2005.x64","Microsoft Visual C++ 2005 Redistributable (x64)","Microsoft Corporation"
"tailscale.tailscale","Tailscale","Tailscale Inc."
"Learnpulse.Screenpresso","Screenpresso","Learnpulse"
"CrystalDewWorld.CrystalDiskInfo","CrystalDiskInfo","Crystal Dew World"
"LIGHTNINGUK.ImgBurn","ImgBurn","LIGHTNING UK!"
"Famatech.AdvancedIPScanner","Advanced IP Scanner","Famatech"
"eTeks.SweetHome3D","Sweet Home 3D","eTeks"
"CodeSector.TeraCopy","TeraCopy","Code Sector"
"Microsoft.VCRedist.2022.arm64","Microsoft Visual C++ 2022 Redistributable (Arm64)","Microsoft Corporation"
"Mozilla.Firefox.ESR","Mozilla Firefox ESR","Mozilla"
"TELUS.BusinessConnectPhone","TELUS Business Connect Phone","TELUS"
"Egnyte.EgnyteDesktopApp","Egnyte Desktop App","Egnyte, Inc."
"BornToBeRoot.NETworkManager","NETworkManager","BornToBeRoot"
"suse.RancherDesktop","Rancher Desktop","SUSE"
"Microsoft.DotNet.AspNetCore.7","Microsoft ASP.NET Core Runtime 7.0","Microsoft Corporation"
"Keeper.KeeperDesktop","Keeper  Password Manager","Keeper Security Inc"
"Dell.DisplayManager","Dell Display Manager","Dell Inc."
"Microsoft.BingWallpaper","Bing Wallpaper","Microsoft Corporation"
"8x8.VirtualOfficeDesktop","8x8 Work","8x8 Inc."
"9NBLGGH4XJQ0","Stellar Secure Business","Stellar Library"
"Skillbrains.Lightshot","Lightshot","Skillbrains"
"HeidiSQL.HeidiSQL","HeidiSQL","Ansgar Becker"
"mRemoteNG.mRemoteNG","mRemoteNG","Next Generation Software"
"DaiyuuNobori.Win10Pcap","Win10Pcap","Daiyuu Nobori, University of Tsukuba, Japan"
"Blueberry.FlashBackPro","FlashBack Pro 5","Blueberry Software (UK) Ltd."
"Azul.Zulu.17.JRE","Azul Zulu JRE 17","Azul Systems, Inc."
"Logitech.LGS","Logitech Gaming Software","Logitech Inc."
"Logitech.LogiBolt","Logi Bolt","Logi"
"Logitech.GHUB","Logitech G HUB","Logitech"
"dotPDNLLC.paintdotnet","paint.net","dotPDN LLC"
"Gephi.Gephi","Gephi","Gephi"
"JanDeDobbeleer.OhMyPosh","Oh My Posh","Jan De Dobbeleer"
"BlueJeans.BlueJeans","BlueJeans","BlueJeans Network, Inc."
"Box.Box","Box","Box, Inc."
"Stardock.Start11","Stardock Start11","Stardock Software, Inc."
"TechSmith.Snagit.2020","Snagit 2020","TechSmith Corporation"
"Mattermost.MattermostDesktop","Mattermost","Mattermost, Inc."
"DominikReichl.KeePass","KeePass","Dominik Reichl"
"Microsoft.VisualStudio.2022.Enterprise","Visual Studio Enterprise 2022","Microsoft Corporation"
